Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,nr Martinsville (VA09.site01a)_09,60,-79.928056,36.69,Bombus impatiens,39,110.49999999999999
Cameron et al. 2011,Hymenoptera,"Stonington, Johnson Cottage, Main Street (ME09.site07)_09",60,-68.66653,44.155752,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Stonington, Johnson Cottage, Main Street (ME09.site07)_09",60,-68.66653,44.155752,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Kingdom Woods (off Hwy 177) (ME09.site03)_09,60,-68.64705,44.410503,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Kingdom Woods (off Hwy 177) (ME09.site03)_09,60,-68.64705,44.410503,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Darling Island, E. Blue Hill Area (ME09.site01)_09",60,-68.5192,44.4006,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Darling Island, E. Blue Hill Area (ME09.site01)_09",60,-68.5192,44.4006,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Long Island, North Tip, ~2mi from Mainland (ME09.site02)_09",60,-68.350615,44.126801,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Long Island, North Tip, ~2mi from Mainland (ME09.site02)_09",60,-68.350615,44.126801,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Corning Rd nr Eastbrook (ME09.site06)_09,60,-68.270784,44.667355,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Corning Rd nr Eastbrook (ME09.site06)_09,60,-68.270784,44.667355,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,Chain O'Lakes State Park (IL08.site03)_08,76,-88.192242,42.460477,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Chain O'Lakes State Park (IL08.site03)_08,76,-88.192242,42.460477,Bombus impatiens,8,17.894736842105264
Cameron et al. 2011,Hymenoptera,"University of WI, Madison Arboretum (WI08.site06)_08",80,-89.43149,43.04103,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"University of WI, Madison Arboretum (WI08.site06)_08",80,-89.43149,43.04103,Bombus impatiens,57,121.125
Cameron et al. 2011,Hymenoptera,Rising Star (TX09.site02)_09,90,-98.96429,32.09948,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Rising Star (TX09.site02)_09,90,-98.96429,32.09948,Bombus impatiens,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 70, 3 mi S of 91 (NE09.site02)_09",90,-98.8093,41.7404,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Hwy 70, 3 mi S of 91 (NE09.site02)_09",90,-98.8093,41.7404,Bombus impatiens,1,1.8888888888888888
